Country,Alcohol_use_disorders,All_Causes,Alzheimer_disease_and_other_dementias,Anxiety_disorders,Asthma,Brain_and_nervous_system_cancers,Breast_cancer,"Cardiomyopathy,_myocarditis,_endocarditis",Chronic_kidney_disease_due_to_diabetes,Chronic_obstructive_pulmonary_disease,Cirrhosis_due_to_alcohol_use,Cirrhosis_due_to_hepatitis_B,Cirrhosis_due_to_hepatitis_C,Colon_and_rectum_cancers,Congenital_heart_anomalies,Depressive_disorders,Diabetes_mellitus,Diarrhoeal_diseases,Edentulism,Epilepsy,Haemorrhagic_stroke,Hypertensive_heart_disease,Iron-deficiency_anaemia,Ischaemic_heart_disease,Ischaemic_stroke,Liver_cancer,Liver_cancer_secondary_to_alcohol_use,Liver_cancer_secondary_to_hepatitis_B,Major_depressive_disorder,Migraine,Nutritional_deficiencies,Oesophagus_cancer,Opioid_use_disorders,Osteoarthritis,Pancreas_cancer,Population_thousands,Preterm_birth_complications,Prostate_cancer,Rheumatic_heart_disease,Schizophrenia,Skin_diseases,Stomach_cancer,"Trachea,_bronchus,_lung_cancers"
Caribbean,0,13905.81958,156.0134134,152.7776112,198.9050453,0,0,0,0,193.0846701,0,0,0,0,152.3670309,236.5574047,516.6973148,332.2592231,0,0,401.1400976,138.6499983,183.7204177,1130.664218,287.1366493,0,0,0,197.8549756,163.3136532,309.5921685,0,0,0,0,38390,477.2365285,0,0,0,0,0,195.9198511
China,0,376370.9,10041.7622,4275.02473,0,0,0,0,0,17937.91671,0,0,0,0,0,8627.776035,9289.399875,0,0,0,27271.83698,5208.659807,0,37324.42899,20316.97102,12207.95175,0,7153.218631,5967.554017,3838.527054,0,4728.133102,0,4323.652582,0,1411415,0,0,0,4561.340778,0,7759.098337,14705.86154
France,223.1135427,16782.84124,677.4006618,351.1459087,193.11246,0,330.333607,0,0,287.3407686,0,0,0,379.5531594,0,517.9202696,379.0723441,0,0,0,274.893606,0,0,927.5279896,320.0229222,194.0997854,0,0,424.7477486,334.5923158,0,0,0,0,225.665361,64721,0,0,0,0,189.5693084,0,827.2882453
Greece,0,3273.038198,69.02498571,56.11498987,0,34.47123286,54.58468987,0,0,120.4274894,0,0,0,58.86102453,0,85.85943271,63.55321581,0,34.35267132,0,108.6304055,0,0,373.9019074,119.8175386,0,0,0,66.69145903,56.82987837,0,0,0,31.21244214,38.29598939,11184,0,0,0,0,0,32.1370823,167.6754095
India,0,509005.725,0,4081.880412,5504.450195,0,0,0,0,22927.95912,0,6093.996463,0,0,4275.58239,7647.086055,11500.78577,19732.52255,0,0,9883.12247,0,16271.59321,44282.75669,8917.832285,0,0,0,6033.551059,6232.884329,22621.55795,0,0,0,0,1324171,31005.7558,0,3746.70137,0,3756.504378,0,0
Indonesia,0,87574.36519,1045.337914,856.8547392,1680.670286,0,0,0,840.834556,2000.106363,0,0,0,0,0,983.5550372,4033.045144,2295.870563,0,0,4779.366857,910.9342516,1071.742951,8487.848569,1998.229134,0,0,0,0,878.5940203,1650.987745,0,0,0,0,261115,2574.50271,0,0,0,947.4520885,0,940.1437036
Ireland,13.7908768,1070.38531,35.4143226,24.45882428,18.30314404,0,21.15583948,0,0,35.93409433,0,0,0,22.92043081,0,33.39576182,23.72816748,0,12.54699504,0,16.83156321,0,0,85.72541532,17.77466089,0,0,0,25.9445331,24.47475809,0,0,12.64892225,0,0,4726,0,0,0,0,12.7550751,0,41.6844124
Italy,0,17125.66568,666.7439014,316.5099922,0,0,317.549798,0,0,452.2325848,0,0,0,396.7525255,0,410.4208272,579.1021491,0,0,0,418.5017174,228.6968041,0,1537.538067,442.253391,197.507723,0,0,310.3540531,345.3760001,0,0,0,173.610106,223.835288,59430,0,0,0,0,0,202.8130751,698.5881083
Japan,0,35619.33106,1126.773893,415.8657169,0,0,384.1672445,0,391.3632358,1068.790269,0,0,0,1015.668498,0,808.8002463,1004.445687,0,399.4840363,0,963.6490386,0,0,2315.051,1234.380297,559.8368739,0,0,657.3265756,486.8240522,0,0,0,0,614.4186954,127749,0,0,0,0,0,950.2893844,1389.004544
Mexico,396.7710777,31199.48991,0,366.8597516,0,0,0,0,0,523.4025529,334.5835353,0,253.8121845,0,487.1743706,606.0514032,3507.629066,0,0,306.7694678,493.1892737,0,0,2074.962176,298.1265683,0,0,0,484.3277825,536.2445858,487.3945013,0,0,257.2020247,0,127540,713.0221762,0,0,0,391.2965307,0,0
Philippines,0,33904.97634,0,325.5086769,695.288042,0,328.2332055,0,443.6785535,861.1550831,0,0,0,0,476.696372,383.4707846,1200.171601,680.7872604,0,0,1955.113522,392.25918,0,3374.754556,554.6543109,0,0,0,0,325.6013663,541.6728173,0,0,0,0,103320,1127.774078,0,0,0,438.0142887,0,321.9297598
Thailand,0,22137.70413,632.2436297,249.3461679,258.9590203,0,0,0,444.1960239,773.5567916,0,235.670138,0,0,0,383.4267298,789.0611127,0,0,0,814.0812391,0,0,1321.498835,370.1211915,674.4818546,0,335.1193246,251.3975143,254.1419566,0,0,0,0,0,68864,283.6211267,0,0,0,323.8293157,0,528.0340448
Viet Nam,0,25192.80411,504.198614,0,324.0110845,0,0,0,0,677.6734312,0,0,0,0,472.7213198,433.7021795,736.4492998,313.0539889,0,0,1278.916777,0,0,1310.044142,644.1965454,945.8850999,324.828164,421.1473574,0,333.8662173,0,0,0,0,0,94569,834.190955,0,0,0,324.3409621,368.2837318,593.818776
Russian Federation,2060.365566,64873.71409,818.6992015,0,0,0,830.9398279,1969.615125,0,717.7207937,0,621.9490506,0,1140.206738,0,1072.708654,769.5465173,0,0,0,1815.61881,0,0,11111.42047,4410.773014,0,0,0,815.9471922,726.8869694,0,0,1037.558982,558.0843604,0,143965,0,0,0,0,0,1024.450448,1678.847647
Republic of Korea,166.1846404,11312.67332,272.6776988,197.4044693,137.1686643,0,0,0,0,272.0234094,0,0,0,213.9011952,0,379.9245788,512.2832352,0,0,0,276.997917,0,0,492.9535994,343.5218275,327.5519148,0,219.9567355,322.3465657,230.4218162,0,0,0,0,0,50792,0,0,0,0,134.8853675,239.6351158,407.1038988
United Kingdom,0,17925.02708,997.2142611,296.7854297,251.4792268,0,311.6139125,0,0,680.1072449,0,0,0,363.8285034,0,481.3637612,312.4195538,0,0,0,329.7115624,0,0,1335.34633,355.2010092,0,0,0,373.8467261,320.8298125,0,182.8557026,197.3416856,0,0,65789,0,205.5079766,0,0,211.5886104,0,741.4260641
